Location,Description,Address,City,State,Zip_Code,11/16/2018,11/17/2018,11/19/2018,11/20/2018,11/21/2018,11/23/2018,11/24/2018,11/26/2018,11/27/2018,11/28/2018,11/29/2018,11/30/2018,12/01/2018,12/03/2018,12/04/2018,12/05/2018,12/06/2018,12/07/2018,12/08/2018,12/10/2018,12/11/2018,12/12/2018,12/13/2018,12/14/2018,12/15/2018,12/17/2018,12/18/2018,12/19/2018,12/20/2018,12/21/2018,12/22/2018,12/24/2018,total_location
Wal-Mart-Cham N,Left Door,2610 N. Prospect Ave.,Champaign,IL,61822,,,,,,96.61,204.76,116.28,65.57,160.47,,110.01,282.81,334.05,88.81,119.51,25.38,34.33,143.15,125.99,,,142.15,298.59,228.3,312.77,28.8,297.37,217.36,178.97,,0,3612.04
Wal-Mart-Cham S,Right Door,2610 N. Prospect Ave.,Champaign,IL,61822,,,,,,289.92,376.68,196.01,228.42,115.48,207.89,235.09,261.61,195.64,166.3,3,285.63,212.37,395.79,445.12,,,571.04,196.58,707.7,342.39,305.75,424.33,327.63,291.84,0,,6782.21
Wal-Mart-Savoy S,Left Door,505 S. Dunlap Ave.,Savoy,IL,61874,,,,,,49.15,,105.07,127.14,118.2,126.35,,419.56,171.84,130.48,172.42,0,166.35,399.84,240.7,0,0,154.5,405.41,495.25,180.32,304.37,267.81,354.4,259.53,,,4648.69
Wal-Mart-Savoy N,Right Door,505 S. Dunlap Ave.,Savoy,IL,61874,,,,,,316.2,447.19,250.3,396.61,169.49,192.58,270.21,380.1,294.78,362,435.84,201.82,350.67,455.77,260.5,0,0,356.7,251.22,3377.87,313.53,409.46,357.23,373.09,426.58,,0,10649.74
Wal-Mart-Urbana N,Left Door,100 S. High Cross Rd.,Urbana,IL,61802,,,,,,,,17.63,7,,26.24,146.8,215.62,,,59.21,97.33,130,90.26,119.6,,,77.18,65.91,280.86,695.78,2768.15,55.85,148.95,218.54,,,5220.91
Wal-Mart-Urbana S,Right Door,100 S. High Cross Rd.,Urbana,IL,61802,,,,,,0,247.33,116.78,148.83,200.89,292.38,813.19,306.22,284.12,316.91,116.41,259.71,269.68,351.14,287.13,,,103,140.41,591.22,236.25,289.3,195.29,135.91,262.74,0,0,5964.84
Wal-Mart-Ran S,Left Door,845 Broadmeadow Rd.,Rantoul,IL,61866,,,,,,745.39,186.23,17.72,,184.86,285.41,202.16,395.12,168.71,236.18,4.88,184.83,305.09,328.09,,,,150.96,329.02,748.62,231.3,187.52,217.62,227.03,245.39,,,5582.13
Wal-Mart-Ran N,Right Door,845 Broadmeadow Rd.,Rantoul,IL,61866,,,,,,220.26,120.77,0,308.71,393.98,117.86,328.92,511.67,,288.67,220.1,161.89,424.11,504.62,185.26,,,304.2,448.13,411.6,62.71,206.74,360.12,424.52,422.59,,,6427.43
Schnucks-Mattis E,Left door facing the store,109 N. Mattis Ave.,Champaign,IL,61821,,,,,,176.6,,119.97,98.53,198.84,154.48,185.28,148.04,34.17,159.22,134.94,148.52,137.95,84.82,140,0,,196.64,292.72,610.04,185.99,214.87,154.83,29.59,91.62,,,3697.66
Schnucks-Vine,,200 N. Vine St.,Urbana,IL,61802,,,,,,,242.06,282.46,89.04,165.32,176.84,200.39,388.85,132.34,356.25,242.17,140.94,0,322.98,143.73,0,,260.42,76.2,445.02,136.44,101.12,266.8,259.24,273.87,,,4702.48
